;;;;;;;0
3;0;6,13;0;15,96;10;62,8;463
3;0;6,13;0;31,91;10;62,8;466
3;0;5,91;0;15,96;10;62,8;469
3;0;5,83;0;31,91;10;62,8;472
3;0;5,75;0;15,46;10;62,8;475
4;0;5,53;0;31,42;10;62,8;479
3;0;5,36;0;15,46;10;62,8;482
3;0;4,44;0;31,91;10;62,8;485
3;0;4,32;0;15,96;10;62,8;488
4;0;4,19;0;31,91;10;62,8;492
3;0;4,04;0;16,46;10;62,8;495
3;0;4,01;0;32,91;10;62,8;498
3;0;3,87;0;16,46;10;62,8;501
3;0;3,77;0;33,91;10;62,8;504
3;0;3,75;0;16,46;10;62,8;507
3;0;3,76;0;33,41;10;62,8;510
3;0;3,76;0;16,95;10;62,8;513
4;0;3,82;0;33,91;10;62,8;517
3;0;3,79;0;16,46;10;62,8;520
3;0;3,81;0;33,41;10;62,8;523
3;0;3,79;0;16,95;10;63;526
3;0;0,62;0;33,91;10;819;529
3;0;0,69;0;31,42;10;819;532
3;0;0,82;0;15,96;10;819;535
3;0;0,75;0;32,91;10;819;538
3;0;0,73;0;15,96;10;819;541
4;0;0,9;0;32,41;10;819;545
3;0;0,88;0;16,46;10;819;548
3;0;0,85;0;32,91;10;819;551
3;0;0,84;0;16,46;10;819;554
3;0;0,8;0;32,91;10;819;557
4;0;0,83;0;16,46;10;819;561
3;0;0,88;0;32,91;10;819;564
3;0;0,69;0;16,46;10;819;567
3;0;0,68;0;32,91;10;819;570
4;0;0,63;0;15,96;10;819;574
3;0;0,63;0;32,41;10;819;577
3;0;0,61;0;15,96;10;819;580
3;0;0,63;0;32,41;10;819;583
3;0;0,66;0;16,46;10;819;586
4;0;0,6;0;32,91;10;819;590
3;0;0,42;0;16,46;10;819;593
3;0;0,54;0;32,41;10;819;596
3;0;0,53;0;16,46;10;819;599
3;0;0,51;0;32,41;10;819;602
4;0;0,49;0;15,96;10;819;606
3;0;0,53;0;32,91;10;819;609
3;0;0,48;0;15,96;10;819;612
3;0;0,48;0;32,91;10;819;615
3;0;0,45;0;15,96;10;819;618
4;0;0,47;0;32,41;10;819;622
3;0;0,4;0;16,46;10;819;625
3;0;0,44;0;32,41;10;819;628
3;0;0,37;0;16,95;10;819;631
4;0;0,41;0;32,91;10;819;635
3;0;0,42;0;18,95;10;819;638
3;0;0,4;0;32,91;10;819;641
3;0;0,41;0;16,95;10;819;644
3;0;0,37;0;32,91;10;819;647
4;0;0,41;0;15,96;10;819;651
3;0;0,4;0;32,91;10;819;654
3;0;0,36;0;15,96;10;819;657
3;0;0,4;0;32,41;10;819;660
3;0;0,32;0;15,96;10;819;663
4;0;0,31;0;32,41;10;819;667
3;0;0,27;0;16,95;10;819;670
3;0;0,37;0;32,91;10;819;673
3;0;0,29;0;16,46;10;819;676
4;0;0,27;0;32,91;10;819;680
3;0;0,28;0;16,95;10;819;683
3;0;0,27;0;33,41;10;819;686
3;0;0,37;0;16,46;10;819;689
3;0;0,24;0;32,91;10;819;692
4;0;0,22;0;15,96;10;819;696
3;0;0,28;0;32,91;10;819;699
3;0;0,32;0;16,95;10;819;702
3;0;0,33;0;33,41;10;819;705
4;0;0,17;0;16,95;10;819;709
3;0;0,3;0;33,41;10;819;712
3;0;0,29;0;16,46;10;819;715
3;0;0,32;0;33,41;10;819;718
3;0;0,37;0;16,46;10;819;721
3;0;0,37;0;32,91;10;819;724
4;0;0,34;0;16,46;10;819;728
3;0;0,39;0;32,91;10;819;731
3;0;0,45;0;16,95;10;819;734
3;0;0,45;0;33,41;10;819;737
4;0;0,45;0;15,96;10;819;741
3;0;0,52;0;32,91;10;819;744
