Robot;Delta_muestra;Input_d;d_ref;vel_ref;Input_vel;Input_theta;Output_d;Output_vel;Output_theta;;;;
S;40;10.2;10;0;0;0.01;0;0;0;0;15;0;1
L;40;10.3;80;0;0.3;0.04;0;-7.89;-140.34;0;15;0;1
T;40;12.8;10;1;1.15;0.02;1;82.11;-53.42;0;15;0;1
S;40;10.3;10;0;0;0.06;0;0;0;0;15;0;1
L;40;10.7;80;0;0.05;-0.14;0;-2.97;547.34;0;15;0;1
T;40;13;10;1;1.41;0.01;1;74.61;-21.06;0;15;0;1
S;40;10.6;10;0;0;0.01;0;0;0;0;15;0;1
L;40;80;80;0;0.14;-0.05;0;-3.73;186.04;0;15;0;1
T;40;12.7;10;1;1.46;0.01;1;70.83;-19.15;0;15;0;1
S;40;10.4;10;0;0;0.01;0;0;0;0;15;0;1
L;40;80;80;0;0.18;-0.13;0;-5.6;428.17;0;15;0;1
T;40;12.5;10;1;1.4;0.01;1;69.85;-17.98;0;15;0;1
S;40;10.5;10;0;0;0.01;0;0;0;0;15;0;1
L;40;80;80;0;0.04;-0.12;0;-2.94;287.16;0;15;0;1
T;40;12.7;10;1;1.17;0.01;1;73.54;-21.66;0;15;0;1
S;40;10.4;10;0;0;0.01;0;0;0;0;15;0;1
L;40;2.7;80;0;-0.04;-0.11;0;-1.17;291.92;0;15;0;1
T;40;12.6;10;1;0.97;0.01;1;77.6;-22.62;0;15;0;1
S;40;10.1;10;0;0;0.01;0;0;0;0;15;0;1
L;40;6.3;80;0;-0.06;-0.11;0;-0.39;322.09;0;15;0;1
T;40;12.7;10;1;0.75;0.01;1;83.56;-23.46;0;15;0;1
S;40;10.3;10;0;0;0.01;0;0;0;0;15;0;1
L;40;9.9;80;0;-0.07;-0.15;0;0.26;465.72;0;15;0;1
T;40;12.8;10;1;0.74;0;1;85.22;-13.26;0;15;0;1
S;40;10.2;10;0;0;0.01;0;0;0;0;15;0;1
L;40;7.6;80;0;-0.09;0.26;0;1.12;-1023;0;15;0;1
T;40;12.4;10;1;0.87;0;1;83.53;-8.31;0;15;0;1
S;40;10.5;10;0;0;0.01;0;0;0;0;15;0;1
L;40;12.5;80;0;-0.26;0.28;0;6.03;-572.22;0;15;0;1
T;40;12.4;10;1;0.84;0;1;85;-12.85;0;15;0;1
S;40;10.2;10;0;0;0.01;0;0;0;0;15;0;1
L;40;9.1;80;0;-0.32;0.25;0;9.07;-453.51;0;15;0;1
T;40;12.4;10;1;0.85;0;1;85.73;-14.53;0;15;0;1
L;40;11.7;80;0;0.05;0.19;0;1.3;-352.49;0;15;0;1
S;40;10.3;10;0;0;0.01;0;0;0;0;15;0;1
T;40;12.4;10;1;0.77;0;1;88.56;-2.47;0;15;0;1
S;40;10.5;10;0;0;0.01;0;0;0;0;15;0;1
L;40;9.7;80;0;0.31;0.1;0;-5.73;-142.71;0;15;0;1
T;40;12.4;10;1;0.89;0;1;86.82;-11.7;0;15;0;1
S;40;10.5;10;0;0;0.01;0;0;0;0;15;0;1
L;40;11.3;80;0;0.36;-0.03;0;-9.41;125.88;0;15;0;1
T;40;12.3;10;1;0.95;0;1;85.85;-10.34;0;15;0;1
S;40;10.4;10;0;0;0.01;0;0;0;0;15;0;1
L;40;14.6;80;0;0.31;-0.13;0;-10.08;436.55;0;15;0;1
T;40;12.2;10;1;1.07;0;1;83.01;-4.29;0;15;0;1
S;40;10.5;10;0;0;0.01;0;0;0;0;15;0;1
L;40;8.4;80;0;0.46;-0.15;0;-16.01;369.31;0;15;0;1
T;40;12.2;10;1;1.08;0;1;82.48;-5.84;0;15;0;1
S;40;10.2;10;0;0;0.01;0;0;0;0;15;0;1
L;40;12.9;80;0;0.38;-0.11;0;-16.52;255.57;0;15;0;1
T;40;12.2;10;1;1.05;0;1;82.69;-12.61;0;15;0;1
S;40;10.3;10;0;0;0.01;0;0;0;0;15;0;1
L;40;17.4;80;0;0.1;-0.12;0;-11.5;359.54;0;15;0;1
T;40;12.5;10;1;1.01;0;1;83.35;0.94;0;15;0;1
S;40;10.4;10;0;0;0.01;0;0;0;0;15;0;1
L;40;11.6;80;0;-0.14;0.19;0;3.75;-682.85;0;15;0;1
T;40;12.4;10;1;0.94;0;1;85.22;-1.11;0;15;0;1
S;40;10.4;10;0;0;0.01;0;0;0;0;15;0;1
L;40;7.3;80;0;-0.36;0.19;0;10.12;-450.89;0;15;0;1
T;40;12.5;10;1;1.15;0;1;80.05;-4.28;0;15;0;1
S;40;10.4;10;0;0;0.01;0;0;0;0;15;0;1
L;40;7.1;80;0;0.31;0.11;0;-5.08;-195.07;0;15;0;1
T;40;12;10;1;1.11;0;1;80.2;4.02;0;15;0;1
S;40;10.3;10;0;0;0.01;0;0;0;0;15;0;1
L;40;6.1;80;0;-0.05;-0.13;0;2.41;554.47;0;15;0;1
T;40;12.1;10;1;0.96;0;1;83.55;3.34;0;15;0;1
S;40;10.4;10;0;0;0.01;0;0;0;0;15;0;1
L;40;12.8;80;0;0.1;-0.06;0;-2.49;234.02;0;15;0;1
T;40;11.9;10;1;1.16;0;1;78.65;-0.59;0;15;0;1
S;40;10.2;10;0;0;0.01;0;0;0;0;15;0;1
L;40;13.3;80;0;0.25;-0.11;0;-7.03;324.72;0;15;0;1
T;40;11.8;10;1;1.08;0;1;79.8;-5.96;0;15;0;1
S;40;10.3;10;0;0;0.01;0;0;0;0;15;0;1
L;40;11.7;80;0;0.25;-0.13;0;-8.57;329.45;0;15;0;1
T;40;11.7;10;1;1.09;0;1;79.04;5.48;0;15;0;1
S;40;10.5;10;0;0;0.01;0;0;0;0;15;0;1
L;40;16.5;80;0;0.02;-0.11;0;-3.91;285.97;0;15;0;1
T;40;11.8;10;1;0.99;0;1;81.04;-6;0;15;0;1
S;40;10.2;10;0;0;0.01;0;0;0;0;15;0;1
L;40;8;80;0;-0.03;-0.11;0;-2.87;317.5;0;15;0;1
T;41;11.8;10;1;0.88;0;1;83.99;-2.49;0;15;0;1
S;40;10.5;10;0;0;0.01;0;0;0;0;15;0;1
L;40;80;80;0;-0.02;-0.14;0;-2.79;459.36;0;15;0;1
T;40;11.9;10;1;0.76;0;1;87.91;4.77;0;15;0;1
S;40;10.2;10;0;0;0.01;0;0;0;0;15;0;1
L;40;13.5;80;0;-0.06;-0.16;0;-1.71;475.14;0;15;0;1
T;40;11.6;10;1;0.58;0;1;94.09;1.28;0;15;0;1
S;40;10.4;10;0;0;0.01;0;0;0;0;15;0;1
L;40;7.7;80;0;-0.11;-0.12;0;-0.01;369.95;0;15;0;1
T;40;12;10;1;0.49;0;1;98.69;1.32;0;15;0;1
S;40;10.7;10;0;0;0.01;0;0;0;0;15;0;1
L;40;9;80;0;0.02;-0.12;0;-2.77;436.64;0;15;0;1
T;40;11.5;10;1;0.63;0;1;98.11;-1.6;0;15;0;1
S;40;10.3;10;0;0;0.01;0;0;0;0;15;0;1
L;40;10.5;80;0;0;-0.13;0;-2.35;471.25;0;15;0;1
