Robot;Delta_muestra;Input_d;d_ref;vel_ref;Input_vel;Input_theta;Output_d;Output_vel;Output_theta;;;;
T;40;13.9;10;12;11.93;-0.02;12;336.12;103.09;0.01;15;0.05;1
S;40;28.2;10;11;10.96;0;11;322.26;95.49;0.05;15;0.06;1
L;40;80;8.3;10;9.97;0.01;0;282.4;84.56;0.06;15;0;1
T;40;13.4;10;12;11.98;-0.03;12;335.2;107.19;0.01;15;0.05;1
S;40;30.9;10;11;11.05;-0.01;11;320.22;111.54;0.05;15;0.06;1
L;40;80;8.3;10;10.01;0.01;0;281.48;85.15;0.06;15;0;1
T;40;13.1;10;12;11.99;-0.03;12;335.13;110.14;0.01;15;0.05;1
L;40;80;8.3;10;9.92;0;0;283.7;100.95;0.06;15;0;1
S;40;30.4;10;11;11.12;0;11;318.23;77.81;0.05;15;0.06;1
S;40;32.5;10;11;11.03;0;11;319.76;76.27;0.05;15;0.06;1
T;40;13.7;10;12;12.06;-0.03;12;333.4;116.82;0.01;15;0.05;1
L;40;80;8.3;10;9.9;0;0;284.85;91.65;0.06;15;0;1
T;40;16.5;10;12;12.03;-0.03;12;333.65;126.24;0.02;15;0.05;1
S;40;32.9;10;11;10.31;0;11;338.44;94.64;0.05;15;0.06;1
L;40;80;8.3;10;9.94;0;0;284.25;86.66;0.06;15;0;1
T;40;16.2;10;12;12.13;-0.03;12;330.96;126.21;0.02;15;0.05;1
S;40;34.3;10;11;11.07;0;11;322.65;87.35;0.05;15;0.06;1
L;40;80;8.3;10;10.03;0;0;282.25;100;0.06;15;0;1
T;40;16.1;10;12;12.04;-0.03;12;332.41;132.36;0.02;15;0.05;1
S;40;33.2;10;11;11.13;0;11;320.71;100.62;0.05;15;0.06;1
L;40;80;8.3;10;10.06;0;0;281.22;104.47;0.06;15;0;1
T;40;17.1;10;12;12.02;-0.01;12;332.75;80.64;0.02;15;0.05;1
S;40;35.3;10;11;11.23;-0.01;11;317.18;110.15;0.05;15;0.06;1
L;40;80;8.3;10;10.02;0;0;281.97;97.09;0.06;15;0;1
T;40;14.9;10;12;12.02;-0.02;12;332.72;145.74;0.02;15;0.05;1
S;40;35.2;10;11;10.94;-0.01;11;323.55;104.46;0.05;15;0.06;1
L;40;80;8.3;10;10.03;0;0;281.64;89.23;0.06;15;0;1
T;40;15.5;10;12;11.99;-0.02;12;333.32;138.06;0.02;15;0.05;1
S;40;38.9;10;11;10.9;-0.01;11;324.94;102.05;0.05;15;0.06;1
L;40;80;8.3;10;10;-0.01;0;282.32;129.79;0.06;15;0;1
T;40;15.6;10;12;11.95;-0.07;12;334.5;293.78;0.04;15;0.05;1
S;40;40.5;10;11;11.2;-0.01;11;317.64;104.02;0.05;15;0.06;1
L;40;80;8.3;10;10.08;0;0;280.22;85.54;0.06;15;0;1
T;40;13.3;10;12;11.94;-0.01;12;334.99;50;0.04;15;0.05;1
S;40;41.3;10;11;11.06;-0.01;11;320.25;114.6;0.05;15;0.06;1
L;40;80;8.3;10;10.02;0.01;0;281.33;79.19;0.06;15;0;1
T;40;14.4;10;12;12;0;12;333.77;74.97;0.04;15;0.05;1
S;40;40.6;10;11;11.15;-0.01;11;317.39;102.6;0.05;15;0.06;1
L;40;80;8.3;10;9.92;0.01;0;283.72;62.27;0.06;15;0;1
T;40;13.2;10;12;11.99;0;12;333.96;90.08;0.04;15;0.05;1
S;40;40;10;11;11.02;-0.01;11;320.06;124.64;0.05;15;0.06;1
L;40;80;8.3;10;10.39;0.01;0;271.86;75.78;0.06;15;0;1
T;40;13.1;10;12;11.94;0.01;12;335.28;82.01;0.04;15;0.05;1
S;40;39.3;10;11;11;-0.01;11;320.47;118.52;0.05;15;0.06;1
L;40;43.4;8.3;10;9.56;0.01;0;291.26;65.41;0.06;15;0;1
T;40;13.5;10;12;11.97;0.01;12;334.95;82.94;0.04;15;0.05;1
S;40;40.8;10;11;10.96;-0.01;11;321.58;122.57;0.05;15;0.06;1
L;40;80;8.3;10;9.95;0.01;0;283.71;60.38;0.06;15;0;1
T;40;13.5;10;12;11.91;0.01;12;336.71;81.82;0.04;15;0.05;1
S;40;41.4;10;11;10.95;-0.01;11;321.9;122.71;0.05;15;0.06;1
L;40;80;8.3;10;10.09;0.02;0;280.22;54.09;0.06;15;0;1
T;40;14.1;10;12;11.92;0.01;12;336.82;86.4;0.02;15;0.05;1
S;40;42.9;10;11;11.28;-0.01;11;313.76;130.6;0.05;15;0.06;1
L;40;80;8.3;10;9.88;0.01;0;285.38;63.99;0.06;15;0;1
T;40;15.3;10;12;11.9;0.01;12;337.84;73.79;0.02;15;0.05;1
S;40;41.6;10;11;11.1;-0.01;11;316.78;125.21;0.05;15;0.06;1
L;41;80;8.3;10;9.96;0.01;0;284.02;57.14;0.06;15;0;1
T;40;15.8;10;12;11.92;0.01;12;337.94;71.41;0.02;15;0.05;1
S;40;39.2;10;11;10.94;-0.01;11;320.24;131.97;0.05;15;0.06;1
L;40;80;8.3;10;10.06;0.01;0;281.47;53.08;0.06;15;0;1
T;40;16;10;12;11.9;0.01;12;338.92;68.8;0.02;15;0.05;1
S;40;39.8;10;11;11.33;-0.01;11;310.6;141.26;0.05;15;0.06;1
L;40;80;8.3;10;10.1;0.01;0;280.24;80.58;0.06;15;0;1
T;40;17.9;10;12;11.9;0.01;12;339.51;79.48;0.02;15;0.05;1
S;40;39.9;10;11;10.98;-0.01;11;317.78;132.71;0.05;15;0.06;1
L;40;80;8.3;10;10.07;0.02;0;280.26;25.84;0.06;15;0;1
T;40;19.2;10;12;11.46;0.01;12;351.66;81.59;0.02;15;0.05;1
S;40;39.3;10;11;10.96;-0.01;11;318.26;119.95;0.05;15;0.06;1
L;40;75.9;8.3;10;10.01;0.02;0;281.48;27.2;0.05;15;0;1
T;40;20.1;10;12;12.48;0;12;328.01;79.72;0.02;15;0.05;1
S;40;39.5;10;11;10.96;-0.01;11;318.67;153.53;0.05;15;0.06;1
L;40;76;8.3;10;10.03;0.02;0;280.92;19.03;0.05;15;0;1
T;40;20.2;10;12;11.91;0.01;12;340.18;73.99;0.04;15;0.05;1
S;40;37.2;10;11;10.99;-0.02;11;318.04;169.49;0.05;15;0.05;1
L;40;76.7;8.3;10;10.09;0.02;0;279.12;37.03;0.05;15;0;1
T;40;20.4;10;12;11.84;0;12;342.5;90.72;0.04;15;0.05;1
S;40;37;10;11;10.95;-0.01;11;319.23;142.65;0.05;15;0.05;1
L;40;76.8;8.3;10;10.13;0.01;0;277.62;42.04;0.05;15;0;1
T;40;20.9;10;12;11.92;0;12;341.38;86.52;0.04;15;0.05;1
S;40;36.2;10;11;10.96;-0.01;11;319.18;152.15;0.05;15;0.05;1
L;40;80;8.3;10;10.12;0.01;0;277.14;48.85;0.05;15;0;1
T;40;20.7;10;12;12.07;0;12;337.96;95.21;0.04;15;0.05;1
S;40;35.5;10;11;10.95;-0.01;11;319.71;137.45;0.05;15;0.05;1
L;40;80;8.3;10;10.01;0.01;0;279.33;44.6;0.05;15;0;1
T;40;19.9;10;12;11.91;0;12;341.77;96.71;0.04;15;0.05;1
S;40;34.8;10;11;10.97;-0.01;11;319.36;146.88;0.05;15;0.05;1
L;40;79.1;8.3;10;10.01;0.01;0;279.31;35.23;0.05;15;0;1
T;40;19.8;10;12;12.3;0;12;332.16;91.94;0.04;15;0.05;1
S;40;33.6;10;11;11.1;-0.01;11;316.29;141.79;0.05;15;0.05;1
L;40;80;8.3;10;9.98;0.01;0;279.96;44.84;0.05;15;0;1
S;40;32.7;10;11;11.09;0;11;315.92;132.56;0.05;15;0.05;1
T;40;19;10;12;11.95;0;12;339.41;95.26;0.04;15;0.05;1
T;40;17.8;10;12;11.88;0;12;341.69;97.9;0.05;15;0.05;1
L;40;80;8.3;10;10.07;0.01;0;277.67;34.76;0.05;15;0;1
S;40;29.6;10;11;11.06;0;11;316.07;142.54;0.05;15;0.05;1
L;40;80;8.3;10;10.01;0.01;0;278.78;34.92;0.05;15;0;1
T;40;18.2;10;12;12;0;12;339.28;94.11;0.05;15;0.05;1
S;40;29.6;10;11;10.98;-0.01;11;317.92;150.25;0.05;15;0.05;1
L;40;79.7;8.3;10;10.05;0.01;0;277.85;11.97;0.04;15;0;1
T;40;18.2;10;12;12.08;0;12;336.98;97.34;0.05;15;0.05;1
S;40;25.7;10;11;11.09;-0.01;11;315.19;142.27;0.05;15;0.05;1
L;40;80;8.3;10;9.74;0.01;0;285.67;32.2;0.04;15;0;1
T;40;18.9;10;12;12.08;0;12;336.72;94.73;0.05;15;0.05;1
S;40;27.2;10;11;11.06;0;11;315.45;135.17;0.05;15;0.04;1
L;40;70.6;8.3;10;10.29;0.01;0;272.8;26.7;0.04;15;0;1
T;40;18.6;10;12;12.12;0;12;335.24;81.06;0.05;15;0.05;1
S;40;24.8;10;11;11.04;-0.01;11;315.64;150.54;0.05;15;0.04;1
L;40;66.4;8.3;10;9.92;0.01;0;280.64;26.32;0.04;15;0;1
T;40;19;10;12;12.02;0;12;337.01;80.22;0.05;15;0.05;1
S;40;24.6;10;11;10.92;0;11;318.55;137.2;0.05;15;0.04;1
L;40;80;8.3;10;9.86;0.01;0;282.87;13.89;0.04;15;0;1
T;40;21.1;10;12;11.98;0;12;338.07;89.25;0.04;15;0.05;1
S;40;21.5;10;11;10.99;0;11;317.11;136.71;0.05;15;0.04;1
L;40;80;8.3;10;9.95;0.01;0;281.29;17.04;0.04;15;0;1
S;40;20.8;10;11;11;0;11;316.84;125.22;0.05;15;0.04;1
T;40;22.6;10;12;11.98;0.05;12;338.04;-77.05;0.04;15;0.05;1
L;40;79.7;8.3;10;10.1;0.01;0;277.51;18.57;0.04;15;0;1
T;40;26.4;10;12;12.09;-0.01;12;335.28;184.12;0.04;15;0.05;1
S;40;18.7;10;11;10.95;0.01;11;318.33;119.98;0.05;15;0.04;1
L;40;74.5;8.3;10;10.11;0.01;0;276.79;14.6;0.04;15;0;1
T;40;56;10;12;12.11;-0.02;12;334.31;134.92;0.04;15;0.05;1
S;40;14.6;10;11;10.94;0.01;11;318.68;103.73;0.05;15;0.04;1
L;40;80;8.3;10;9.96;0.01;0;279.95;12.25;0.03;15;0;1
T;40;58.4;10;12;12.12;-0.02;12;333.38;115.57;0.04;15;0.05;1
S;40;13.8;10;11;11.01;0.01;11;317.36;106.58;0.05;15;0.03;1
L;40;80;8.3;10;9.86;0.01;0;282.92;15.89;0.03;15;0;1
T;40;59.3;10;12;12.08;-0.01;12;333.65;112.45;0.04;15;0.05;1
S;40;13.8;10;11;10.96;0.01;11;318.47;96.19;0.05;15;0.03;1
L;40;77.7;8.3;10;9.88;0.01;0;283.22;18.14;0.03;15;0;1
T;40;59.1;10;12;12;-0.01;12;335.24;120.06;0.04;15;0.05;1
S;40;13;10;11;10.95;0.02;11;318.94;89.11;0.05;15;0.03;1
L;40;63.5;8.3;10;9.94;0.01;0;282.25;18.83;0.03;15;0;1
T;40;61.7;10;12;12.01;-0.01;12;334.93;115.88;0.04;15;0.05;1
S;40;13.7;10;11;10.87;0.02;11;321.46;83.4;0.05;15;0.03;1
L;40;80;8.3;10;10.01;0.01;0;280.71;11.89;0.03;15;0;1
T;40;61.4;10;12;11.98;-0.01;12;335.8;107.55;0.04;15;0.05;1
S;40;13;10;11;11.02;0.02;11;318.13;79.96;0.06;15;0.03;1
L;41;80;8.3;10;10.09;0.01;0;278.64;14.72;0.03;15;0;1
T;40;62.5;10;12;11.9;-0.01;12;337.89;108.83;0.04;15;0.05;1
S;40;12.4;10;11;10.92;0.02;11;320.65;72.91;0.06;15;0.03;1
L;40;70.2;8.3;10;10.1;0;0;277.97;20.13;0.03;15;0;1
T;40;61.7;10;12;11.88;-0.01;12;339.11;119.92;0.04;15;0.06;1
S;40;12.3;10;11;10.92;0.02;11;321.26;86.53;0.06;15;0.03;1
L;40;72.1;8.3;10;10.09;0.01;0;277.52;6.72;0.02;15;0;1
T;40;64.4;10;12;12.08;-0.01;12;334.49;109.97;0.04;15;0.06;1
S;40;12.4;10;11;11.06;0.01;11;317.88;83.31;0.06;15;0.02;1
L;40;80;8.3;10;10.02;0.01;0;278.88;13.38;0.02;15;0;1
S;40;11.7;10;11;10.92;0.01;11;321.28;92.46;0.06;15;0.02;1
L;40;80;8.3;10;9.89;0;0;282.23;32.75;0.02;15;0;1
T;40;61.9;10;12;11.49;-0.01;12;349.6;113.66;0.04;15;0.06;1
T;40;62;10;12;12.27;0;12;332.14;105.48;0.04;15;0.06;1
S;40;12.1;10;11;10.86;0.01;11;323.31;91.75;0.06;15;0.02;1
L;40;80;8.3;10;9.92;0;0;281.93;31.76;0.02;15;0;1
T;40;63.9;10;12;12;0;12;337.61;103.8;0.04;15;0.06;1
L;40;80;8.3;10;9.88;0;0;283.41;21.4;0.02;15;0;1
S;40;11.3;10;11;10.96;0.01;11;321.46;96.59;0.06;15;0.02;1
S;40;10.9;10;11;11.09;0;11;318.24;102.1;0.06;15;0.02;1
T;40;63.8;10;12;12.08;0;12;335.58;114.43;0.04;15;0.06;1
L;40;77.5;8.3;10;9.87;0;0;284.44;27.41;0.02;15;0;1
S;40;10.5;10;11;11.04;0;11;318.97;102.26;0.06;15;0.02;1
T;40;64.3;10;12;12.47;0;12;324.94;112.01;0.04;15;0.06;1
T;40;63.8;10;12;12.08;-0.05;12;332.31;283.14;0.04;15;0.06;1
L;40;58.6;8.3;10;9.91;0;0;284.13;23.91;0.02;15;0;1
S;40;10;10;10;10.98;0;10;294.32;104.63;0.06;15;0.02;1
L;40;75.1;8.3;10;10.11;0;0;279.51;17.61;0.02;15;0;1
T;40;61.1;10;12;11.67;0;12;342.5;43.25;0.04;15;0.06;1
S;40;9.2;10;9;10.99;0;9;262.29;116.61;0.06;15;0.02;1
T;40;51.9;10;12;12.1;0;12;333.22;96.07;0.04;15;0.06;1
L;40;67.1;8.3;10;10.19;0;0;276.81;24.21;0.02;15;0;1
S;40;9;10;9;10.65;0;9;259.61;107.86;0.06;15;0.02;1
L;40;80;8.3;10;10.15;0;0;276.63;19.01;0.01;15;0;1
T;40;45.9;10;10;11.99;0;10;283.43;106.41;0.04;15;0.06;1
S;40;8.7;10;9;10.24;0;9;260.79;89.25;0.06;15;0.02;1
L;40;64.1;8.3;10;9.98;0;0;280.2;13.61;0.01;15;0;1
T;40;43.9;10;10;11.71;0;10;279.12;109.38;0.05;15;0.06;1
S;40;8.9;10;9;9.9;0.01;9;262.3;87.21;0.06;15;0.02;1
L;40;71.5;8.3;10;9.93;0;0;281.59;24.04;0.01;15;0;1
T;40;42.5;10;10;11.4;0;10;277.22;112.35;0.05;15;0.06;1
S;40;8.7;10;9;9.49;0.01;9;267.9;89.65;0.06;15;0.01;1
L;40;53.2;8.3;10;9.91;0;0;282.6;24.8;0.01;15;0;1
T;40;39;10;10;10.94;0;10;281.09;116.41;0.05;15;0.06;1
S;40;8.7;10;9;9.19;0.01;9;272.94;71.73;0.06;15;0.01;1
L;40;39;8.3;10;9.85;0;0;284.64;9.27;0.01;15;0;1
T;40;36.6;10;10;10.51;0;10;286.96;122.26;0.05;15;0.06;1
S;40;8.8;10;9;9.01;0.01;9;276.45;67.99;0.06;15;0.01;1
L;40;80;8.3;10;9.85;0;0;285.41;17.68;0.01;15;0;1
T;40;29.9;10;10;10.19;0;10;292.22;119.48;0.05;15;0.06;1
S;40;8.9;10;9;8.97;0.02;9;277.42;59.62;0.06;15;0.01;1
L;40;66.2;8.3;10;9.84;0;0;286.58;17.77;0.01;15;0;1
S;40;8.7;10;9;9.04;0.02;9;275.75;51.92;0.06;15;0.01;1
T;40;25.4;10;10;10.01;0;10;295.77;113.39;0.05;15;0.06;1
L;40;80;8.3;10;9.92;0;0;285.43;14.9;0.01;15;0;1
T;40;22.2;10;10;10.09;0;10;293.7;120.28;0.05;15;0.06;1
S;40;8.8;10;9;9.1;0.02;9;273.9;50.54;0.06;15;0.01;1
L;40;45;8.3;10;9.97;0;0;284.53;8.19;0.01;15;0;1
T;40;18.8;10;10;10.14;0;10;291.88;118.85;0.05;15;0.06;1
S;40;8.7;10;9;9.19;0.02;9;271.12;37.47;0.06;15;0.01;1
L;40;52.6;8.3;10;9.9;0;0;286.61;16.22;0.01;15;0;1
T;40;17.1;10;10;10.12;0;10;291.54;102.09;0.05;15;0.06;1
S;40;8.9;10;9;9.24;0.02;9;268.67;37.15;0.06;15;0.01;1
L;40;80;8.3;10;10.06;0;0;283.11;16.46;0.01;15;0;1
T;40;15;10;10;9.84;0;10;298.29;119.05;0.05;15;0.06;1
S;40;8.6;10;9;9.25;0.02;9;266.88;42.41;0.06;15;0.01;1
S;40;8.9;10;9;9.11;0.02;9;269.29;23.07;0.06;15;0.01;1
T;40;13.1;10;10;9.99;-0.01;10;295.2;143.23;0.05;15;0.06;1
L;40;64.8;8.3;10;10.31;0;0;276.23;20.31;0.01;15;0;1
L;40;80;8.3;10;10.13;0;0;279.07;14.97;0.01;15;0;1
T;40;12.6;10;10;10.21;-0.01;10;289.41;123.82;0.05;15;0.06;1
S;40;8.8;10;9;8.95;0.02;9;272.61;16.1;0.05;15;0.01;1
L;40;51.1;8.3;10;9.78;0;0;287.4;23.12;0.01;15;0;1
T;40;11.6;10;10;10.03;0;10;293.03;125.97;0.05;15;0.06;1
S;40;9;10;9;8.75;0.02;9;278.33;20.11;0.05;15;0.01;1
L;40;66.5;8.3;10;9.82;0;0;287.65;14.69;0.01;15;0;1
T;40;9.6;10;8;9.92;0;8;243.46;119.16;0.05;15;0.06;1
S;40;8.9;10;9;9.22;0.02;9;267.35;22.24;0.05;15;0.01;1
L;40;80;8.3;10;10.11;0;0;281.1;27.06;0.01;15;0;1
T;40;8.8;10;8;9.85;0;8;234.16;113.69;0.05;15;0.05;1
S;40;8.8;10;9;8.92;0.02;9;273.88;32.51;0.05;15;0.01;1
L;40;80;8.3;10;9.98;0;0;283.78;20.47;0.01;15;0;1
T;40;8.4;10;8;9.35;0;8;236.52;110.94;0.05;15;0.05;1
S;41;9;10;9;9.2;0.01;9;267.06;30.04;0.05;15;0.01;1
L;40;48.1;8.3;10;10.02;0;0;282.97;0.53;0.01;15;0;1
T;40;7.5;10;8;8.9;0.01;8;240.28;97.22;0.05;15;0.05;1
S;40;8.7;10;9;8.85;0.01;9;275.04;41.86;0.05;15;0.01;1
L;40;80;8.3;10;9.96;0.01;0;284.46;-5.55;0.01;15;0;1
T;40;7.1;10;8;8.49;0.01;8;245.93;90.97;0.05;15;0.05;1
S;40;9.1;10;9;8.84;0.01;9;276.2;30.86;0.05;15;0.01;1
L;40;80;8.3;10;9.92;0;0;285.69;16.36;0.01;15;0;1
T;40;7.4;10;8;8.37;0.05;8;246.19;-64.11;0.05;15;0.05;1
S;40;9;10;9;8.92;0.01;9;275.03;32.87;0.05;15;0.01;1
L;40;80;8.3;10;9.71;0;0;291.6;11.6;0.01;15;0;1
T;40;7.5;10;8;8.17;0.01;8;249.2;149.61;0.05;15;0.05;1
S;40;9.2;10;9;8.96;0.01;9;274.41;18.54;0.05;15;0.01;1
L;40;57.4;8.3;10;9.91;0;0;288.17;4.12;0.01;15;0;1
T;40;7.5;10;8;8.09;0;8;250.23;108.24;0.05;15;0.05;1
L;40;80;8.3;10;9.95;0.01;0;287.68;-25.03;0.01;15;0;1
S;40;9.2;10;9;8.91;0.01;9;275.89;29.18;0.05;15;0.01;1
T;40;7.3;10;8;8.14;0.01;8;248.56;83.75;0.05;15;0.05;1
S;40;8.9;10;9;8.93;0.01;9;276.05;17.35;0.04;15;0.01;1
L;40;54;8.3;10;10.11;0;0;283.7;18.09;0.01;15;0;1
T;40;7.2;10;8;8.07;0.01;8;249.61;78.27;0.05;15;0.05;1
S;40;9;10;9;8.92;0.01;9;276.71;21.41;0.04;15;0.01;1
L;40;80;8.3;10;10.17;0;0;281.42;18.41;0.01;15;0;1
T;40;7;10;8;8.14;0.01;8;247.23;72.69;0.05;15;0.04;1
S;40;9.1;10;9;9;0.01;9;274.95;14.43;0.04;15;0.01;1
L;40;66.5;8.3;10;9.96;0.01;0;285.98;-28;0.01;15;0;1
T;40;7;10;8;8.26;0.05;8;243.31;-78.02;0.05;15;0.04;1
S;40;9.1;10;9;9.04;0.01;9;273.89;16.76;0.04;15;0.01;1
L;40;54.1;8.3;10;10.18;0;0;280.55;24.86;0.01;15;0;1
T;40;7;10;8;8.23;0.01;8;242.57;137.07;0.05;15;0.04;1
S;40;9.1;10;9;9.04;0.01;9;273.8;16.09;0.04;15;0.01;1
L;40;50.5;8.3;10;9.99;0;0;284.34;7.84;0.01;15;0;1
T;40;7.4;10;8;8.16;0;8;243.01;87.24;0.06;15;0.04;1
S;40;9.1;10;9;9;0.01;9;274.53;13.69;0.04;15;0.01;1
L;40;61.2;8.3;10;9.99;0;0;284.44;17.08;0.01;15;0;1
T;40;7.3;10;8;8.09;0.01;8;244.06;67.15;0.06;15;0.04;1
S;40;9.2;10;9;9.01;0.01;9;274.3;19.45;0.04;15;0.01;1
L;40;68.6;8.3;10;9.94;0;0;285.7;2.43;0.01;15;0;1
T;40;7.1;10;8;8.17;0.01;8;241.47;58.28;0.06;15;0.04;1
S;40;9.3;10;9;9;0.01;9;274.39;20.39;0.04;15;0.01;1
L;40;53.5;8.3;10;9.91;0;0;287.04;1.92;0.01;15;0;1
T;40;6.9;10;8;8.24;0.01;8;238.59;62.93;0.06;15;0.04;1
S;40;9.2;10;9;8.97;0.01;9;275.15;21.26;0.04;15;0.01;1
L;40;80;8.3;10;9.71;0;0;292.75;8.87;0.01;15;0;1
T;40;6.8;10;8;8.24;0;8;237.32;79.11;0.06;15;0.04;1
S;40;9.5;10;9;8.92;0;9;276.65;22.79;0.03;15;0.01;1
L;40;76.9;8.3;10;10.67;0;0;269.38;-1.48;0.01;15;0;1
T;40;6.9;10;8;8.12;0;8;239.02;71.08;0.06;15;0.03;1
S;40;9.5;10;9;8.97;0;9;275.81;19.92;0.03;15;0.01;1
L;40;80;8.3;10;9.8;0;0;288.13;-0.31;0.01;15;0;1
T;40;6.7;10;8;8.01;0.01;8;241.15;65.93;0.06;15;0.03;1
S;40;9.7;10;9;8.95;0;9;276.42;24.16;0.03;15;0.01;1
L;40;67.3;8.3;10;10.06;0;0;282.58;-0.77;0.01;15;0;1
T;40;6.8;10;8;8.01;0;8;241.16;79.74;0.06;15;0.03;1
S;40;9.4;10;9;8.99;0;9;275.65;27.54;0.03;15;0.01;1
L;40;76.1;8.3;10;9.8;0.01;0;288.9;-8.79;0.01;15;0;1
T;40;7;10;8;8.05;0;8;239.96;74.28;0.06;15;0.03;1
S;40;9.6;10;9;9.01;0;9;275.36;29.31;0.03;15;0.01;1
L;40;70.8;8.3;10;9.83;0;0;289.25;-1.04;0.01;15;0;1
T;40;6.8;10;8;7.78;0;8;246.87;64.81;0.06;15;0.03;1
S;40;9.6;10;9;9.1;0;9;272.87;20.54;0.03;15;0.01;1
L;40;62.8;8.3;10;9.88;0.01;0;289.03;-9.91;0.01;15;0;1
T;40;6.6;10;8;8.1;0;8;239.65;76.33;0.06;15;0.03;1
S;40;9.5;10;9;9.15;0;9;270.94;35.33;0.03;15;0.01;1
L;40;80;8.3;10;9.95;0.01;0;287.89;-5.86;0.01;15;0;1
T;40;6.9;10;8;7.84;0;8;246.01;80.75;0.06;15;0.03;1
S;40;9.4;10;9;9.12;0.01;9;270.76;3.91;0.03;15;0.01;1
L;40;78.3;8.3;10;9.77;0;0;292.78;-1.19;0.01;15;0;1
T;40;6.9;10;8;7.78;0;8;248.32;80.71;0.06;15;0.03;1
S;40;9.5;10;9;9.05;0;9;272.05;23.5;0.03;15;0.01;1
L;40;77.2;8.3;10;9.76;0;0;294.38;-0.69;0.01;15;0;1
T;40;6.9;10;8;8;0;8;244.05;73.8;0.06;15;0.03;1
L;40;80;8.3;10;9.72;0;0;297;3.75;0.01;15;0;1
S;40;9.6;10;9;9;0;9;272.89;14.38;0.02;15;0.01;1
T;40;7;10;8;8.01;0;8;243.72;74.74;0.06;15;0.03;1
S;40;9.6;10;9;8.93;0;9;274.87;29.1;0.02;15;0.01;1
L;40;80;8.3;10;9.69;0.01;0;299.43;-17.74;0.01;15;0;1
T;40;6.9;10;8;8.02;0;8;243.39;74.88;0.06;15;0.02;1
S;40;9.4;10;9;9.31;0;9;265.19;25.53;0.02;15;0.01;1
L;40;80;8.3;10;9.7;0;0;300.8;2.24;0.01;15;0;1
T;40;7.1;10;8;8.09;0;8;241.56;70.1;0.06;15;0.02;1
S;40;9.8;10;9;8.79;0;9;277.18;19.53;0.02;15;0.01;1
L;40;80;8.3;10;9.94;0.01;0;296.28;-14.64;0.01;15;0;1
T;40;6.8;10;8;8.03;0;8;242.56;63.65;0.06;15;0.02;1
S;40;9.8;10;9;8.8;0;9;277.96;23.49;0.02;15;0.01;1
L;40;80;8.3;10;10.61;0;0;279.19;-8.62;0.01;15;0;1
T;40;7.1;10;8;8.02;0.01;8;242.65;62.55;0.06;15;0.02;1
S;40;10.1;10;9;8.8;0;9;279.07;21.37;0.02;15;0.01;1
L;40;80;8.3;10;9.98;0.01;0;292.13;-17.79;0.01;15;0;1
T;40;6.9;10;8;8.01;0.04;8;242.63;-81.09;0.06;15;0.02;1
S;40;10.1;10;9;9.13;0;9;271.7;13.3;0.02;15;0.01;1
L;40;80;8.3;10;10;0;0;291.66;10.17;0.01;15;0;1
T;40;6.9;10;8;7.98;0;8;243.33;120.87;0.06;15;0.02;1
S;40;9.8;10;9;9.06;0;9;272.9;24.78;0.02;15;0.01;1
L;40;80;8.3;10;10.31;0;0;283.55;6.41;0.01;15;0;1
T;40;7.1;10;8;7.89;0;8;245.87;83.04;0.05;15;0.02;1
S;40;9.9;10;9;9.31;0;9;265.96;15.96;0.02;15;0.01;1
L;40;80;8.3;10;10.11;0;0;286.92;-13.69;0.01;15;0;1
T;40;7;10;8;7.85;0;8;247.46;57.58;0.05;15;0.02;1
S;40;9.9;10;9;9.07;0;9;270.41;11.77;0.01;15;0.01;1
L;40;80;8.3;10;10.1;0;0;286.61;-4.17;0;15;0;1
T;40;7.2;10;8;7.91;0;8;246.91;59.69;0.05;15;0.02;1
S;40;9.9;10;9;8.94;0.01;9;273.27;9.82;0.01;15;0;1
L;40;80;8.3;10;10.07;0;0;286.85;5.51;0;15;0;1
T;41;7.3;10;8;7.79;0;8;250.68;53.41;0.05;15;0.01;1
S;40;10.2;10;9;9.01;0.01;9;272;9.54;0.01;15;0;1
L;40;80;8.3;10;10.07;0;0;286.3;-0.46;0;15;0;1
T;40;7.2;10;8;8.03;0.01;8;245.57;44.11;0.05;15;0.01;1
S;40;10.1;10;9;9.01;0;9;271.81;24.63;0.01;15;0;1
L;40;80;8.3;10;10.08;0;0;285.7;10.42;0;15;0;1
T;40;6.9;10;8;8.19;0.01;8;241.1;42.79;0.05;15;0.01;1
S;40;10;10;9;8.92;0.01;9;274.19;-7.58;0.01;15;0;1
L;40;80;8.3;10;10.06;0;0;285.66;-5.59;0;15;0;1
T;40;7;10;8;8.28;0.01;8;237.73;40.67;0.05;15;0.01;1
S;40;10;10;9;8.93;0;9;274.27;23.1;0.01;15;0;1
L;40;80;8.3;10;9.92;-0.01;0;289.13;20.06;0;15;0;1
T;40;7.3;10;8;8.11;0.01;8;240.64;43.91;0.05;15;0.01;1
S;40;10.3;10;9;8.96;0;9;273.9;16.65;0.01;15;0;1
L;40;80;8.3;10;9.29;-0.01;0;306.02;14.74;0;15;0;1
T;40;6.9;10;8;8.09;0.05;8;240.32;-99.57;0.05;15;0.01;1
S;40;10.1;10;9;8.97;0;9;273.99;14.59;0.01;15;0;1
L;40;80;8.3;10;9.51;0;0;304.29;4.28;0;15;0;1
T;40;7.3;10;8;8.05;0.05;8;240.87;-67.67;0.05;15;0.01;1
