Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
L,40,14.20,19.20,10.00,7.17,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,16.80,15.00,7.60,0.53,1,0.00,0.00,0.00,0.00,5.69,0.00,1
L,40,17.30,19.20,10.00,8.07,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,17.00,15.00,8.64,3.77,1,0.00,0.00,0.00,0.00,8.45,0.00,1
L,40,14.90,19.20,10.00,8.67,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,17.40,15.00,10.52,4.14,1,0.00,0.00,0.00,0.00,8.45,0.00,1
L,40,18.90,19.20,10.00,8.90,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,17.10,15.00,9.58,4.94,1,0.00,0.00,0.00,0.00,8.45,0.00,1
L,40,21.00,19.20,10.00,8.95,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,17.40,15.00,11.06,5.81,1,0.00,0.00,0.00,0.00,8.94,0.00,1
L,40,9.60,19.20,10.00,9.14,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,17.20,15.00,10.53,6.31,1,0.00,0.00,0.00,0.00,8.94,0.00,1
L,40,13.90,19.20,10.00,9.16,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,17.50,15.00,12.03,7.24,1,0.00,0.00,0.00,0.00,9.15,0.00,1
L,40,14.80,19.20,10.00,9.67,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,17.50,15.00,12.33,8.03,1,0.00,0.00,0.00,0.00,9.15,0.00,1
L,40,15.40,19.20,10.00,9.40,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,41,17.40,15.00,12.22,9.13,1,0.00,0.00,0.00,0.00,9.25,0.00,1
L,40,15.90,19.20,10.00,9.37,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,17.20,15.00,11.69,9.64,1,0.00,0.00,0.00,0.00,9.25,0.00,1
L,40,14.20,19.20,10.00,9.50,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,17.30,15.00,12.36,10.08,1,0.00,0.00,0.00,0.00,9.25,0.00,1
L,40,13.10,19.20,10.00,9.61,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,17.60,15.00,13.88,10.50,1,0.00,0.00,0.00,0.00,9.61,0.00,1
L,40,13.60,19.20,10.00,9.63,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,17.10,15.00,12.13,10.80,1,0.00,0.00,0.00,0.00,9.61,0.00,1
L,40,15.70,19.20,10.00,9.65,1,0.00,0.00,0.00,0.00,15.00,0.00,1
