Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
L,40,19.30,18.70,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.70,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,21.40,18.70,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.80,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,16.60,18.70,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.70,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,18.30,18.70,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.90,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,17.00,18.70,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.50,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,19.60,18.70,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.80,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,17.60,18.70,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.90,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,16.50,18.70,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.90,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,20.30,18.70,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.80,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,17.70,18.70,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,15.00,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,17.50,18.70,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.60,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,21.70,18.70,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.70,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,18.50,18.70,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.60,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,15.50,18.70,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.60,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,17.10,18.70,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,15.00,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,20.70,18.70,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.90,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,19.20,18.70,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.60,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,17.00,18.70,10.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.70,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,18.10,18.70,10.00,0.96,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.70,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,17.20,18.70,10.00,2.35,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.60,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,18.00,18.70,10.00,3.99,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,15.30,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,5.93,0.00,1
