Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
L,40,62.20,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.10,14.30,-3.18,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,61.20,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.00,14.30,-3.61,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,61.70,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.90,14.30,-4.06,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,62.30,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.10,14.30,-3.29,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,61.30,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.00,14.30,-3.72,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,61.00,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.00,14.30,-3.76,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,61.80,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.80,14.30,-4.62,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,61.10,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.00,14.30,-3.85,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,61.30,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.00,14.30,-3.89,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,62.80,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.10,14.30,-3.51,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,62.00,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.90,14.30,-4.36,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,61.60,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.30,14.30,-2.76,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,62.10,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.10,14.30,-3.59,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,62.30,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.80,14.30,-4.85,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,61.80,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.10,14.30,-3.67,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,62.00,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.10,14.30,-3.69,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,61.70,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.90,14.30,-4.54,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,62.10,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.00,14.30,-4.18,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.20,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.10,14.30,-3.80,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,62.20,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.20,14.30,-3.41,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,60.80,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.10,14.30,-3.84,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,62.10,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.30,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,41,61.70,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.80,14.30,-2.06,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,62.10,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.90,14.30,-1.71,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,61.50,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.80,14.30,-2.17,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,60.40,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.90,14.30,-1.82,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,61.30,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.20,14.30,-0.41,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,62.60,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.30,14.30,-0.01,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,61.20,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.10,14.30,-0.84,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,60.70,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.90,14.30,-1.65,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,61.30,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.20,14.30,-0.46,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,61.60,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.00,14.30,-1.30,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.00,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.30,14.30,-0.10,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,62.50,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.70,14.30,-2.57,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,62.00,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.90,14.30,-1.82,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,61.90,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.80,14.30,-2.28,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,61.60,59.60,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.10,14.30,-1.10,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
