Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
S,42,18.00,13.90,18.91,11.55,0.00,18.91,428.38,-2.34,0.00,0.00,0.00,1
L,42,53.70,58.70,20.00,16.95,0.02,0.00,553.85,-50.97,0.00,15.00,0.00,1
S,42,18.20,13.90,20.25,13.68,0.01,20.25,452.64,-17.45,0.00,0.00,0.00,1
L,41,54.20,58.70,20.00,18.44,0.03,0.00,532.93,-70.52,0.00,15.00,0.00,1
S,41,18.00,13.90,19.95,16.26,0.01,19.95,416.13,-16.54,0.00,0.00,0.00,1
L,40,52.10,58.70,20.00,18.12,0.08,0.00,550.48,-259.01,0.00,15.00,0.00,1
S,40,18.20,13.90,21.27,16.37,0.01,21.27,469.25,-11.41,0.00,0.00,0.00,1
L,40,52.00,58.70,20.00,18.48,0.13,0.00,551.92,-378.08,0.00,15.00,0.00,1
S,42,18.50,13.90,23.05,17.27,0.00,23.05,522.42,-3.32,0.00,0.00,0.00,1
L,40,51.70,58.70,20.00,19.13,0.02,0.00,543.84,53.95,0.00,15.00,0.00,1
S,41,18.60,13.90,24.03,18.42,0.00,24.03,552.21,-4.76,0.00,0.00,0.00,1
L,41,51.30,58.70,20.00,18.86,0.01,0.00,556.04,-60.80,0.01,15.00,0.00,0
S,42,18.10,13.90,22.56,20.72,0.00,22.56,486.89,-3.34,0.00,0.00,0.00,1
L,40,50.50,58.70,20.00,18.30,0.02,0.00,577.24,-98.25,0.01,15.00,0.00,0
S,41,18.20,13.90,23.49,21.27,0.00,23.49,507.88,-2.15,0.00,0.00,0.00,1
S,40,18.20,13.90,24.00,21.25,-0.00,24.00,534.80,2.47,0.00,0.00,0.01,1
L,42,50.00,58.70,20.00,19.79,0.02,0.00,548.20,-105.43,0.01,15.00,0.00,0
L,42,49.10,58.70,20.00,19.09,0.02,0.00,567.98,-122.42,0.01,15.00,0.00,0
S,42,18.00,13.90,23.72,20.16,-0.00,23.72,572.71,3.87,0.00,0.00,0.01,1
L,40,48.40,58.70,20.00,19.58,0.03,0.00,560.54,-122.31,0.01,15.00,0.00,0
S,42,18.00,13.90,24.24,23.14,-0.00,24.24,529.55,6.79,0.00,0.00,0.01,1
L,41,47.60,58.70,20.00,19.81,0.08,0.00,557.02,-307.12,0.01,15.00,0.00,0
S,42,17.80,13.90,23.93,21.45,-0.00,23.93,572.63,11.02,0.00,0.00,0.01,1
L,40,46.20,58.70,20.00,19.35,0.02,0.00,570.18,-51.28,0.01,15.00,0.00,0
S,41,17.80,13.90,24.41,23.12,-0.01,24.41,556.23,20.00,0.00,0.00,0.01,1
L,42,47.20,58.70,20.00,19.90,0.01,0.00,559.69,-99.90,0.01,15.00,0.00,0
S,41,17.70,13.90,24.47,23.34,-0.01,24.47,559.82,20.48,0.00,0.00,0.01,1
L,42,47.60,58.70,20.00,19.83,0.01,0.00,562.18,-107.57,0.01,15.00,0.00,0
S,41,17.40,13.90,23.70,22.29,-0.01,23.70,573.95,16.14,0.00,0.00,0.01,1
L,42,49.60,58.70,20.00,19.65,0.01,0.00,567.78,-115.95,0.01,15.00,0.00,0
S,40,17.80,13.90,25.77,22.90,-0.01,25.77,620.33,11.78,0.00,0.00,0.01,1
L,42,50.40,58.70,20.00,19.58,0.01,0.00,571.96,-118.24,0.01,15.00,0.00,0
S,42,17.50,13.90,25.03,24.79,-0.00,25.03,568.31,7.12,0.00,0.00,0.01,1
L,40,51.50,58.70,20.00,19.02,0.01,0.00,589.00,-127.28,0.01,15.00,0.00,0
S,41,17.40,13.90,25.06,24.40,-0.00,25.06,580.78,6.75,0.00,0.00,0.01,1
L,41,52.70,58.70,20.00,19.04,0.02,0.00,594.33,-135.30,0.01,15.00,0.00,0
S,40,17.90,13.90,27.54,23.75,-0.00,27.54,666.29,5.06,0.00,0.00,0.01,1
L,42,52.90,58.70,20.00,20.26,0.01,0.00,567.98,-132.06,0.04,15.00,0.00,0
S,42,17.60,13.90,26.80,24.93,0.00,26.80,638.87,-4.67,0.00,0.00,0.01,1
L,42,54.70,58.70,20.00,20.26,0.01,0.00,566.26,-129.74,0.04,15.00,0.00,0
S,42,17.40,13.90,0.00,26.71,-0.00,26.44,-104.47,22.44,0.00,0.00,0.04,0
