Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
R,40,80.00,15.00,9.95,10.14,0,0.08,0.08,0.08,0.08,9.95,0.00,0
S,40,74.40,15.00,10.26,10.36,1,0.00,0.00,0.00,0.00,10.26,0.08,0
L,40,80.00,80.00,10.00,10.03,0,0.02,0.01,0.00,0.00,15.00,0.00,1
R,40,80.00,15.00,9.95,9.98,0,0.08,0.08,0.08,0.08,9.95,0.00,0
S,40,72.90,15.00,9.74,10.47,1,0.03,0.00,0.00,0.03,9.74,0.08,0
L,40,80.00,80.00,10.00,9.96,0,0.02,0.01,0.00,0.00,15.00,0.00,1
R,40,80.00,15.00,9.95,10.05,0,0.08,0.08,0.08,0.08,9.95,0.00,0
S,40,71.90,15.00,9.74,10.41,1,0.03,0.00,0.00,0.03,9.74,0.08,0
L,40,80.00,80.00,10.00,9.70,0,0.02,0.01,0.00,0.00,15.00,0.00,1
R,40,20.00,15.00,9.87,10.01,0,0.08,0.08,0.08,0.08,9.87,0.00,0
S,40,70.30,15.00,10.08,10.27,1,0.03,0.00,0.00,0.03,10.08,0.08,0
L,40,80.00,80.00,10.00,10.35,0,0.02,0.01,0.00,0.00,15.00,0.00,1
R,40,19.10,15.00,9.87,10.11,0,0.08,0.08,0.08,0.08,9.87,0.00,0
S,40,71.70,15.00,10.08,10.10,1,0.03,0.00,0.00,0.03,10.08,0.08,0
L,40,80.00,80.00,10.00,9.78,0,0.02,0.01,0.00,0.00,15.00,0.00,1
R,40,16.30,15.00,9.85,10.03,0,0.08,0.08,0.08,0.08,9.85,0.00,0
S,40,72.80,15.00,10.08,10.04,1,0.03,0.00,0.00,0.03,10.08,0.08,0
L,40,80.00,80.00,10.00,9.90,0,0.02,0.01,0.00,0.00,15.00,0.00,1
R,40,17.40,15.00,9.85,10.01,0,0.08,0.08,0.08,0.08,9.85,0.00,0
S,40,71.30,15.00,10.03,10.06,1,0.03,0.00,0.00,0.03,10.03,0.08,0
L,40,80.00,80.00,10.00,9.81,0,0.02,0.01,0.00,0.00,15.00,0.00,1
R,40,16.20,15.00,9.85,9.91,0,0.08,0.08,0.08,0.08,9.85,0.00,0
S,40,69.20,15.00,10.03,10.19,1,0.03,0.00,0.00,0.03,10.03,0.08,0
L,40,80.00,80.00,10.00,9.80,1,0.00,0.01,0.00,0.01,15.00,0.00,1
R,40,80.00,15.00,9.78,9.89,0,0.08,0.08,0.08,0.08,9.78,0.00,0
S,40,68.20,15.00,9.89,10.24,1,0.03,0.05,0.00,0.05,9.89,0.08,0
L,40,80.00,80.00,10.00,9.85,1,0.00,0.01,0.00,0.01,15.00,0.00,1
R,40,80.00,15.00,9.78,9.93,0,0.08,0.08,0.08,0.08,9.78,0.00,0
S,40,69.40,15.00,9.89,10.15,1,0.03,0.05,0.00,0.05,9.89,0.08,0
L,40,80.00,80.00,10.00,9.90,1,0.00,0.01,0.00,0.01,15.00,0.00,1
R,40,80.00,15.00,10.10,9.86,0,0.08,0.08,0.08,0.08,10.10,0.01,0
S,40,69.20,15.00,9.89,10.14,1,0.03,0.05,0.00,0.05,9.89,0.08,0
L,40,80.00,80.00,10.00,9.97,1,0.00,0.01,0.00,0.01,15.00,0.00,1
R,40,80.00,15.00,10.10,9.86,0,0.08,0.08,0.08,0.08,10.10,0.01,0
S,40,66.70,15.00,9.73,10.16,1,0.03,0.05,0.00,0.05,9.73,0.08,0
L,40,80.00,80.00,10.00,9.94,1,0.00,0.01,0.00,0.01,15.00,0.00,1
R,40,80.00,15.00,10.10,9.71,0,0.08,0.08,0.08,0.08,10.10,0.01,0
S,40,67.10,15.00,9.73,9.92,1,0.03,0.05,0.00,0.05,9.73,0.08,0
L,40,80.00,80.00,10.00,9.98,1,0.00,0.01,0.00,0.01,15.00,0.00,1
R,40,80.00,15.00,9.92,9.99,0,0.08,0.08,0.08,0.08,9.92,0.01,0
S,40,65.70,15.00,9.87,9.77,1,0.03,0.05,0.00,0.05,9.87,0.08,0
L,40,80.00,80.00,10.00,9.92,1,0.00,0.01,0.00,0.01,15.00,0.00,1
R,40,80.00,15.00,9.92,10.03,0,0.08,0.08,0.08,0.08,9.92,0.01,0
S,40,64.30,15.00,9.87,10.26,1,0.03,0.05,0.00,0.05,9.87,0.08,0
L,40,80.00,80.00,10.00,9.89,1,0.00,0.01,0.00,0.01,15.00,0.00,1
R,40,80.00,15.00,10.07,10.02,0,0.08,0.08,0.08,0.08,10.07,0.01,0
S,40,66.70,15.00,10.00,9.61,1,0.03,0.05,0.00,0.05,10.00,0.08,0
L,40,80.00,80.00,10.00,9.90,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,80.00,15.00,10.07,10.18,0,0.08,0.08,0.08,0.08,10.07,0.01,0
S,40,59.30,15.00,10.00,9.87,0,0.03,0.05,0.07,0.03,10.00,0.08,0
L,40,80.00,80.00,10.00,10.08,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,80.00,15.00,10.02,10.04,0,0.08,0.08,0.08,0.08,10.02,0.00,0
