Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
R,40,10.00,10.00,15.51,14.98,-0.01,15.51,541.79,16.64,0.00,14.72,0.00,1
T,40,48.90,10.00,16.81,18.32,-0.02,16.81,530.13,-13.12,0.01,16.81,0.04,0
S,40,8.80,10.00,14.93,16.76,-0.06,14.93,464.60,54.36,0.04,14.93,0.00,0
O,40,11.30,10.00,18.35,14.86,-0.02,18.35,587.07,7.81,0.03,18.35,0.01,0
L,40,3.50,49.00,15.00,15.53,-0.01,0.00,461.48,9.24,0.00,15.00,0.00,1
R,40,9.90,10.00,15.10,15.10,0.00,15.10,531.17,-9.69,0.00,14.93,0.00,1
T,40,48.90,10.00,15.51,18.22,-0.01,15.51,490.01,-139.98,0.05,15.51,0.04,0
S,40,8.50,10.00,14.93,15.01,-0.01,14.93,499.64,-108.03,0.04,14.93,0.00,0
O,40,11.90,10.00,18.35,17.01,-0.02,18.35,551.14,3.59,0.03,18.35,0.01,0
L,40,2.30,49.00,15.00,15.42,-0.00,0.00,461.18,3.27,0.00,15.00,0.00,1
R,40,9.70,10.00,14.26,15.35,0.00,14.26,502.65,-4.32,0.00,14.93,0.00,1
T,40,48.40,10.00,15.51,17.73,0.08,15.51,487.10,-499.53,0.05,15.51,0.04,0
