Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
R,40,10.20,10.00,15.94,15.32,0.00,15.94,545.46,1.31,0.00,15.37,0.00,1
O,40,11.30,10.00,14.72,15.05,-0.01,14.72,482.81,7.88,0.01,14.72,0.00,0
S,40,10.20,10.00,15.74,15.11,0.00,15.74,516.73,3.76,0.00,14.53,0.00,1
L,40,80.00,49.00,15.00,15.05,-0.00,0.00,472.73,10.63,0.00,15.00,0.00,1
T,40,9.90,10.00,15.29,14.56,0.02,15.29,517.85,-33.12,0.00,15.52,0.00,1
R,40,10.30,10.00,16.38,14.94,0.00,16.38,570.46,5.79,0.00,15.22,0.00,1
O,40,11.10,10.00,14.72,15.01,-0.01,14.72,482.04,4.88,0.01,14.72,0.00,0
S,40,10.10,10.00,15.36,15.08,0.00,15.36,511.16,10.63,0.00,14.53,0.00,1
L,40,80.00,49.00,15.00,15.01,0.00,0.00,473.52,-14.56,0.00,15.00,0.00,1
T,40,10.10,10.00,16.10,14.93,0.02,16.10,533.71,-16.26,0.00,15.52,0.00,1
O,40,11.20,10.00,14.71,14.84,-0.01,14.71,484.51,8.96,0.01,14.71,0.00,0
S,40,10.10,10.00,15.37,15.18,0.00,15.37,510.43,-5.35,0.00,14.53,0.00,1
R,40,10.10,10.00,15.59,15.43,0.00,15.59,545.51,1.72,0.00,15.22,0.00,1
L,40,19.10,49.00,15.00,15.11,-0.00,0.00,470.75,0.07,0.00,15.00,0.00,1
T,40,10.00,10.00,15.70,14.99,-0.03,15.70,528.42,132.51,0.00,15.52,0.00,1
R,40,9.80,10.00,14.36,15.89,0.00,14.36,502.41,3.23,0.00,15.22,0.00,1
O,40,11.50,10.00,14.71,14.75,-0.01,14.71,485.93,0.09,0.01,14.71,0.00,0
S,40,10.30,10.00,16.20,15.30,0.00,16.20,530.21,-4.20,0.00,15.50,0.00,1
L,40,19.90,49.00,15.00,15.01,-0.00,0.00,472.78,6.80,0.00,15.00,0.00,1
T,40,10.00,10.00,15.70,15.28,-0.02,15.70,525.20,64.56,0.00,15.81,0.00,1
R,40,10.00,10.00,15.16,15.68,0.00,15.16,519.88,1.12,0.00,14.59,0.00,1
O,40,11.30,10.00,15.29,14.89,-0.00,15.29,497.21,-6.46,0.01,15.29,0.00,0
S,40,10.00,10.00,15.00,15.33,0.01,15.00,503.39,-6.77,0.00,15.50,0.00,1
L,40,80.00,49.00,15.00,14.97,-0.00,0.00,473.66,3.35,0.00,15.00,0.00,1
T,40,10.00,10.00,15.70,15.79,0.02,15.70,514.12,-95.15,0.00,15.81,0.00,1
R,40,9.70,10.00,13.93,15.22,0.00,13.93,496.67,4.23,0.00,14.59,0.00,1
O,40,11.40,10.00,20.90,14.81,-0.00,20.90,648.21,-1.04,0.00,15.29,0.00,1
S,40,10.00,10.00,15.00,15.51,0.00,15.00,496.73,9.98,0.00,15.02,0.00,1
L,40,19.70,49.00,15.00,15.05,-0.00,0.00,471.76,4.60,0.00,15.00,0.00,1
T,40,9.90,10.00,15.29,15.99,0.03,15.29,497.67,-46.87,0.00,15.52,0.00,1
R,40,10.00,10.00,15.13,14.95,0.00,15.13,527.53,-1.96,0.00,15.02,0.00,1
O,40,11.30,10.00,20.66,15.40,-0.00,20.66,661.91,-4.92,0.00,15.29,0.00,1
S,40,9.90,10.00,14.59,15.50,0.00,14.59,483.25,5.21,0.00,15.02,0.00,1
L,40,20.00,49.00,15.00,15.02,-0.00,0.00,472.17,2.26,0.00,15.00,0.00,1
T,40,9.50,10.00,13.63,15.86,0.02,13.63,453.56,-22.24,0.00,15.52,0.00,1
R,40,10.40,10.00,16.78,14.80,0.00,16.78,575.38,-2.56,0.00,15.02,0.00,1
O,40,11.40,10.00,21.23,16.57,-0.00,21.23,676.61,-8.15,0.00,15.63,0.00,1
S,40,10.00,10.00,14.99,15.42,0.00,14.99,490.49,5.18,0.00,14.55,0.00,1
L,40,20.80,49.00,15.00,15.03,-0.00,0.00,471.87,-0.41,0.00,15.00,0.00,1
R,40,9.90,10.00,14.76,14.91,0.00,14.76,531.45,-1.54,0.00,15.02,0.00,1
T,41,9.80,10.00,14.81,15.39,-0.02,14.81,483.56,123.36,0.00,15.52,0.00,1
O,40,11.50,10.00,21.81,18.03,-0.00,21.81,680.74,-6.00,0.00,15.63,0.00,1
S,40,10.10,10.00,15.40,15.23,-0.00,15.40,503.68,11.02,0.00,14.55,0.00,1
L,40,20.00,49.00,15.00,14.98,-0.00,0.00,472.98,4.54,0.00,15.00,0.00,1
T,40,9.70,10.00,14.37,14.96,-0.03,14.37,479.94,71.38,0.00,15.20,0.00,1
R,40,9.90,10.00,14.75,15.25,0.00,14.75,521.46,1.39,0.00,15.01,0.00,1
O,40,11.10,10.00,20.34,19.23,-0.00,20.34,632.97,-5.89,0.00,14.86,0.00,1
S,40,10.10,10.00,15.42,15.04,-0.00,15.42,510.04,19.67,0.00,14.55,0.00,1
L,40,22.40,49.00,15.00,14.88,-0.00,0.00,475.81,0.63,0.00,15.00,0.00,1
T,40,9.60,10.00,13.92,14.74,0.02,13.92,470.55,-95.80,0.00,15.20,0.00,1
R,40,10.20,10.00,15.98,15.25,0.00,15.98,550.56,-1.04,0.00,15.01,0.00,1
O,40,10.70,10.00,18.82,20.06,-0.01,18.82,578.23,9.93,0.00,14.86,0.00,1
S,40,10.30,10.00,16.25,15.12,-0.00,16.25,532.08,8.71,0.00,15.01,0.00,1
L,40,22.80,49.00,15.00,14.57,0.00,0.00,484.62,-7.57,0.00,15.00,0.00,1
R,40,10.00,10.00,15.18,15.22,0.00,15.18,534.68,2.42,0.00,14.84,0.00,1
T,40,9.60,10.00,13.87,14.65,0.02,13.87,466.98,-43.86,0.00,15.06,0.00,1
O,40,10.40,10.00,17.67,20.47,-0.00,17.67,530.20,3.25,0.00,14.86,0.00,1
S,40,9.90,10.00,14.64,15.22,-0.00,14.64,493.78,16.99,0.00,15.01,0.00,1
L,40,20.30,49.00,15.00,14.65,0.00,0.00,484.88,-11.18,0.00,15.00,0.00,1
T,40,9.60,10.00,13.83,14.36,-0.03,13.83,468.69,137.98,0.00,15.06,0.00,1
R,40,10.10,10.00,15.59,15.26,0.00,15.59,543.98,3.14,0.00,14.84,0.00,1
O,40,9.80,10.00,15.25,20.03,-0.00,15.25,462.24,2.93,0.00,14.23,0.00,1
S,40,10.10,10.00,15.45,15.33,-0.00,15.45,508.88,15.99,0.00,15.31,0.00,1
L,40,24.20,49.00,15.00,15.01,0.00,0.00,477.70,-3.77,0.00,15.00,0.00,1
R,40,9.90,10.00,14.78,15.31,-0.00,14.78,523.39,5.57,0.00,14.84,0.00,1
T,40,10.10,10.00,15.84,14.12,0.01,15.84,524.43,-74.69,0.00,15.71,0.00,1
O,40,10.00,10.00,16.05,19.19,-0.01,16.05,477.19,10.03,0.00,14.23,0.00,1
S,40,10.40,10.00,16.70,15.43,-0.00,16.70,539.39,15.66,0.00,15.31,0.00,1
L,40,23.60,49.00,15.00,15.07,0.00,0.00,475.88,-1.07,0.00,15.00,0.00,1
T,40,10.10,10.00,15.85,14.22,0.02,15.85,532.14,-32.18,0.00,15.71,0.00,1
R,40,9.90,10.00,14.76,15.29,-0.00,14.76,520.50,10.63,0.00,15.04,0.00,1
O,40,9.80,10.00,15.22,18.04,-0.00,15.22,467.36,0.65,0.00,14.55,0.00,1
S,40,9.90,10.00,14.69,15.47,-0.00,14.69,493.37,7.15,0.00,15.31,0.00,1
L,40,25.70,49.00,15.00,15.13,-0.00,0.00,473.87,0.48,0.00,15.00,0.00,1
R,40,10.00,10.00,15.16,15.24,-0.00,15.16,529.31,18.56,0.00,15.04,0.00,1
T,40,10.10,10.00,15.86,14.44,0.01,15.86,536.18,-1.43,0.00,15.71,0.00,1
O,40,9.70,10.00,14.79,17.17,-0.00,14.79,462.25,-1.28,0.00,14.55,0.00,1
S,40,10.30,10.00,16.32,15.67,-0.00,16.32,526.31,13.60,0.00,15.49,0.00,1
L,40,27.20,49.00,15.00,15.33,0.00,0.00,467.88,-2.78,0.00,15.00,0.00,1
T,40,10.40,10.00,17.11,14.69,-0.04,17.11,570.39,157.54,0.00,15.61,0.00,1
R,40,10.30,10.00,16.40,15.21,-0.00,16.40,561.91,6.88,0.00,15.23,0.00,1
O,40,9.90,10.00,15.57,16.21,-0.01,15.57,494.13,14.73,0.00,14.55,0.00,1
S,40,10.10,10.00,15.54,15.63,0.00,15.54,510.41,1.69,0.00,15.49,0.00,1
L,40,27.10,49.00,15.00,15.02,-0.00,0.00,474.18,2.54,0.00,15.00,0.00,1
R,40,10.10,10.00,15.61,15.19,-0.00,15.61,548.85,14.17,0.00,15.23,0.00,1
T,40,10.10,10.00,15.92,15.05,-0.04,15.92,544.18,98.63,0.00,15.61,0.00,1
O,40,9.70,10.00,14.74,15.62,-0.00,14.74,484.02,6.07,0.00,15.68,0.00,1
S,40,9.80,10.00,14.31,15.71,0.00,14.31,476.01,8.70,0.00,15.02,0.00,1
L,40,28.00,49.00,15.00,15.02,-0.00,0.00,474.07,-1.78,0.00,15.00,0.00,1
R,40,10.00,10.00,15.21,15.29,-0.00,15.21,538.14,6.74,0.00,15.23,0.00,1
T,40,10.10,10.00,15.93,15.63,-0.03,15.93,534.42,75.84,0.00,15.69,0.00,1
O,40,10.00,10.00,15.94,15.25,-0.00,15.94,519.92,-2.83,0.00,15.68,0.00,1
